Centro,Municipio,Sitio,N�mero,T�tulo,F.Inicio,F.Fin,Especialidad,Elemento,Tecnologia,Tipo Equipo,Clave Cierre,SW,HW,C,AC,DC,PC,MTTO,AT,D,P,BT,Estado,Observaciones,descripcion,�tima Acci�n ,Tg (min)
CT SAN JOSE DE LAS LAJAS,BEJUCAL,CT BEJUCAL,T20231107202746011,Grupo fuera de servicio,07/11/2023 08:27:46 p.�m.,09/11/2023 06:41:18 p.�m.,"Energetica, Climatizacion y SPI",MG 45 SSP/AA,GREYMO,Grupos Electrogenos,MTTO,0,0,0,0,0,0,1,0,0,0,0,CERRADO,Se cambio la correa,Grupo fuera de servicio por correa del ventilador de enfriamiento rota,Se cambio la correa,2773
CT SANTA CRUZ DEL NORTE,MADRUGA,CT MADRUGA,T20231105104437094,Grupo parado por salidero de aceite en la tapa del block ,05/11/2023 10:44:37 a.�m.,07/02/2024 10:00:16 a.�m.,"Energetica, Climatizacion y SPI",MG 25 SSP/AA,GREYMO,Grupos Electrogenos,MTTO,0,0,0,0,0,0,1,0,0,0,0,CERRADO,Queda operativo el grupo electr�geno luego la observaci�n sin presentar problemas en su funcionamiento.,Grupo parado por salidero de aceite en la tapa del block,Queda operativo el grupo electr�geno luego la observaci�n sin presentar problemas en su funcionamiento.,135315
CT SANTA CRUZ DEL NORTE,Santa Cruz del Norte,RBS PUERTO ESCONDIDO,T20231104080201033,RBS interrumpida,04/11/2023 08:02:01 a.�m.,06/11/2023 09:21:17 a.�m.,Acceso,RBS 2116,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Restablecido el servicio por la OBE,Se interrumpe la RBS por aver�a en las lineas segun la OBE.,OBE restablece el servicio,3019
CT SAN JOSE DE LAS LAJAS,SAN JOSE DE LAS LAJAS,COCC 1,T20231102171156057,Celda 3 averiada,02/11/2023 05:11:56 p.�m.,06/11/2023 09:33:25 a.�m.,Acceso,BTS,RADIOBASE,Movil,C,0,0,1,0,0,0,0,0,0,0,0,CERRADO,Enlace de fibra entre celda 2 y 3 averiado,Celda 3 averiada,Jumper optico partido,5361
CT SAN JOSE DE LAS LAJAS,San Jose de las Lajas,RBS EMI LIBERACION,T20231101192438033,Radio base fuera de servicio,01/11/2023 07:24:38 p.�m.,02/11/2023 07:15:22 a.�m.,Acceso,RBS 2206,RADIOBASE,Movil,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,Se resete� la radiobase,Radio base fuera de servicio por causas desconocidas,Se reseteo la radiobase,710
CT GUINES,NUEVA PAZ,CT NUEVA PAZ,T20231028102313072,Grupo Electr�geno no arranc�,28/10/2023 10:23:13 a.�m.,08/12/2023 06:59:26 a.�m.,"Energetica, Climatizacion y SPI",MG 50 SSP/AA,GREYMO,Grupos Electrogenos,MTTO,0,0,0,0,0,0,1,0,0,0,0,CERRADO,Se cambio relay de activaci�n de selenoide de bomba de petroleo del grupo electr�geno,Grupo Electr�geno no arranc�,Se cambio relay de activaci�n de selenoide de bomba de petroleo del grupo electr�geno,58896
CT SANTA CRUZ DEL NORTE,Madruga,JOVEN CLUB AGUACATE,T20231026083035061,LSW fuera de servicio,26/10/2023 08:30:35 a.�m.,14/02/2024 09:43:27 a.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,D,0,0,0,0,0,0,0,0,1,0,0,CERRADO,se resolvio,LSW fuera de servicio. Se comprueba que hay ac en el sitio,"Se resolvio
",159972
CT SANTA CRUZ DEL NORTE,Jaruco,RBS BAINOA FC,T20231025121905087,TRX 8 interrumpido,25/10/2023 12:19:05 p.�m.,01/12/2023 11:49:24 a.�m.,Acceso,RBS 2106,RADIOBASE,Movil,HW,0,1,0,0,0,0,0,0,0,0,0,CERRADO,Se cambio el TRX,TRX 8 interrumpido,Se cambio el TRX,53310
CT SAN JOSE DE LAS LAJAS,QUIVICAN,Comunitaria QV,T20231024080241019,RBS interrumpida,24/10/2023 08:02:41 a.�m.,25/10/2023 01:39:41 a.�m.,Acceso,RBS 6301,RADIOBASE,Movil,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,Se reseteo por hardware la radiobase y levantaron todos los servicios,"Se interrumpe la RBS, se inform� a todos los jefes pertinentes",Se reseteo por hardware la radiobase y levantaron todos los servicios ,1057
CT SAN JOSE DE LAS LAJAS,SAN JOSE DE LAS LAJAS,VSAT MIPYME Walvaldes. 10.1.17.42,T20231022234614099,MYB_42_(17)_MIPYME Walvaldes,22/10/2023 11:46:14 p.�m.,24/10/2023 06:31:27 p.�m.,Red de Acceso,VSAT,SISTEMA SATELITAL VSAT,Mantenimiento a los Sistemas de Microondas y Radio Enlaces principales y secundarios analogicos,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,Reset,"MYB_42_(17)_MIPYME Walvaldes, Desconectada mas de 48 horas",RESET,2565
CT SANTA CRUZ DEL NORTE,SANTA CRUZ DEL NORTE,CT CANASI,T20231021094858088,Minilink fuera de servicio por fallo ac.,21/10/2023 09:48:58 a.�m.,21/10/2023 10:50:36 a.�m.,Transmision,Minilink 6651,CADENA TRONCAL MICROONDAS Y RADIOENLACES PRINCIPALES Y SECUNDARIOS DIGITALES. MTTOS: 8,Mantenimiento a los Sistemas de Microondas y Radio Enlaces principales y secundarios analogicos,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno ac al sitio.,Minilink fuera de servicio por fallo ac. Segun OBE se cambian transformadores en la zona.,Retorno ac al sitio.,61
CT SANTA CRUZ DEL NORTE,Madruga,RBS LOMA JIQUIMA,T20231021094427023,RBS fuera de servicio por fallo de ac,21/10/2023 09:44:27 a.�m.,21/10/2023 12:51:13 p.�m.,Acceso,RBS 2106,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Retorno ac al sitio,"RBS fuera de servicio por fallo de ac, Segun OBE zona afectada por averia en los tendidos.",Retorno ac al sitio,186
CT GUINES,GUINES,CT GUINES,T20231020205335085,Averiada Tarjeta ADSL Slot 12 DSLAM 5300 CT Guines,20/10/2023 08:53:35 p.�m.,20/10/2023 09:32:40 p.�m.,Acceso,DSLAM MA5300,DSLAM HUAWEI,Red de Acceso,HW,0,1,0,0,0,0,0,0,0,0,0,CERRADO,Sustituida tarjeta ADSL,Se interrumpe tarjeta de usuarios ADSL ubicada en SLOT 12 ,Despues de acciones por SOFTWARE se decide sustituir la unidad por una que no tenia servicios de otro equipo y se soluciona el problema,39
CT SAN JOSE DE LAS LAJAS,QUIVICAN,CT QUIVICAN,T20231016232815057,LTE fuera de servicio ,16/10/2023 11:28:15 p.�m.,17/10/2023 11:24:39 a.�m.,Acceso,RBS 6601,RADIOBASE,Movil,HW,0,1,0,0,0,0,0,0,0,0,0,CERRADO,Cambio de Baseband,LTE fuera de servicio,Cambio de Baseband,716
CT SAN JOSE DE LAS LAJAS,SAN JOSE DE LAS LAJAS,VSAT MIPYME Walvaldes. 10.1.17.42,T20231015162450007,MYB_42_(17)__MIPYME WelValdes. M�s de 48 horas desconectada.,15/10/2023 04:24:50 p.�m.,19/10/2023 11:49:45 a.�m.,Red de Acceso,VSAT,SISTEMA SATELITAL VSAT,Mantenimiento a los Sistemas de Microondas y Radio Enlaces principales y secundarios analogicos,HW,0,1,0,0,0,0,0,0,0,0,0,CERRADO,Reset Hardware,MYB_42_(17)__MIPYME WelValdes. M�s de 48 horas desconectada. Se le env�a comando wakeup capa 2. Par�metros y reinicio SCS capa 3. No se conect�.,Reset Hardware,5484
CT SANTA CRUZ DEL NORTE,JARUCO,CT JARUCO,T20231012144835026,Grupo fuera de servicio por salidero de aceite por el reten trasero del motor del generador ,12/10/2023 02:48:35 p.�m.,29/01/2024 01:28:50 p.�m.,"Energetica, Climatizacion y SPI",MG 50 SSP/AA,GREYMO,Grupos Electrogenos,MTTO,0,0,0,0,0,0,1,0,0,0,0,CERRADO,"Cambio de filtro, aceite y motor de arranque",Grupo fuera de servicio por salidero de aceite por el reten trasero del motor del generador,"Cambio de filtro, aceite y motor de arranque",156940
CT SAN JOSE DE LAS LAJAS,SAN JOSE DE LAS LAJAS,TV Mayabeque,T20231010074521075,RBS fuera de servicio,10/10/2023 07:45:21 a.�m.,19/10/2023 11:31:40 a.�m.,Acceso,SSC 02,RADIOBASE,Movil,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,Reset Hardware,"RBS fuera de servicio. Se confirman problemas con las protecccione electricas del local, queda pendiente por intervencion del cliente.",Reset Hardware,13186
CT SAN JOSE DE LAS LAJAS,BEJUCAL,CT BEJUCAL,T20231009200723042,GE con bajo nivel de aceite,09/10/2023 08:07:23 p.�m.,17/10/2023 08:14:40 p.�m.,"Energetica, Climatizacion y SPI",MG 45 SSP/AA,GREYMO,Grupos Electrogenos,MTTO,0,0,0,0,0,0,1,0,0,0,0,CERRADO,Se realiza cambio de aceite y filtro.,GE con bajo nivel de aceite,Se realiza cambio de aceite y filtro.,11527
CT SAN JOSE DE LAS LAJAS,SAN JOSE DE LAS LAJAS,CT SAN JOSE DE LAS LAJAS,T20231009200444057,GE con filtro de combustible tupido,09/10/2023 08:04:44 p.�m.,10/11/2023 03:57:10 p.�m.,"Energetica, Climatizacion y SPI",MGTP 200 SSP,GREYMO,Grupos Electrogenos,MTTO,0,0,0,0,0,0,1,0,0,0,0,CERRADO,Cammbio de filtro y limpieza de tanque,GE con filtro de combustible tupido,Cammbio de filtro y limpieza de tanque,45892
CT SANTA CRUZ DEL NORTE,SANTA CRUZ DEL NORTE,TRANSCUPET,T20231009092611053,Ruido y servicio deficiente,09/10/2023 09:26:11 a.�m.,01/12/2023 11:57:43 a.�m.,Transmision,TRASA,RADIO ENLACES SECUNDARIOS. RED DE ACCESO. ESTACION BASE. SISTEMA TRUNKING de ETECSA. MTTOS: 1,Mantenimiento a los Sistemas de Microondas y Radio Enlaces principales y secundarios analogicos,HW,0,1,0,0,0,0,0,0,0,0,0,CERRADO,cambio de radio,Ruido y servicio deficiente,cambio de radio,76531
CT GUINES,SAN NICOLAS,CT SAN NICOLAS DE BARI,T20231006133711037,Grupo Movil con aver�a.,06/10/2023 01:37:11 p.�m.,14/02/2024 12:31:00 p.�m.,"Energetica, Climatizacion y SPI",MG 25 SSP/AA,GREYMO,Grupos Electrogenos,MTTO,0,0,0,0,0,0,1,0,0,0,0,CERRADO,Cambio de filtro y aceite,Grupo Movil con aver�a. Problemas en el filtro de combustible.,Cambio de filtro,188633
CT GUINES,Melena del Sur,RBS GUARA,T20231005135030071,Rbs fuera de servicio,05/10/2023 01:50:30 p.�m.,06/10/2023 09:37:15 a.�m.,Acceso,RBS 2106,RADIOBASE,Movil,D,0,0,0,0,0,0,0,0,1,0,0,CERRADO,Se restableci� sin intervenci�n.,Se  resetea el puerto del minilink y el TG sin resultados. Se informa a la m�vil.,Se restablece sin intervenci�n.,1186
CT SAN JOSE DE LAS LAJAS,Bejucal,CASA CULTURA BEJUCAL,T20231005104150093,LSW fuera de sericio,05/10/2023 10:41:50 a.�m.,09/10/2023 09:38:44 a.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,Se le amplia el ancho de banda en el SAS-S Bejucal,LSW fuera de servicio. Se resetea sin resultados. Notificado a Cx,Se le amplia el ancho de banda en el SAS-S Bejucal,5696
CT GUINES,Guines,RBS CENTRO ESCOLAR,T20231005081410084,Radio Base con intermitencia en su funcionamiento ,05/10/2023 08:14:10 a.�m.,14/10/2023 07:46:42 a.�m.,Acceso,RBS 6301,RADIOBASE,Movil,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,Se renueva la licencia y se amplia el ancho de banda.,Radio Base con intermitencia en su funcionamiento,Se renueva la licencia y se amplia el ancho de banda.,12932
CT SAN JOSE DE LAS LAJAS,Quivican,RBS PABLO NORIEGA,T20231004091940031,RBS fuera de servicio,04/10/2023 09:19:40 a.�m.,14/10/2023 07:44:58 a.�m.,Acceso,RBS 6301,RADIOBASE,Movil,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,Se renueva la licencia y se amplia el ancho de banda.,El Minilink del sitio no esta alcanzable por la gestion. Se le realizo un reset por SW pero no se restablecio el servicio. Se manda al grupo de intervencion al sitio para identificar las causas del problema.,Se renueva la licencia y se amplia el ancho de banda.,14305
CT GUINES,Guines,TELEGUINES,T20231003193629044,RBS 4 G fuera de servicio,03/10/2023 07:36:29 p.�m.,14/10/2023 07:42:41 a.�m.,Acceso,RBS 6301,RADIOBASE,Movil,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,Se renueva la licencia y se amplia el ancho de banda.,despues de un fallo de ac en el sitio la RBS quedo fuera de servicio. Al restablecerse la corriente el servicio se mantuvo afectado.,La llave del local no esta disponible hasta la ma�ana por lo que va a quedar pendiente por intervencion ir al sitio. ,15126
CT SAN JOSE DE LAS LAJAS,Bejucal,COMUNITARIA BEJUCAL,T20231003191038024,RBS fuera de servicio ,03/10/2023 07:10:38 p.�m.,14/10/2023 07:40:05 a.�m.,Acceso,RBS 6301,RADIOBASE,Movil,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,Se renueva la licencia y se amplia el ancho de banda.,"Se interrumpe la RBS por fallo ac en el sitio y cuando restablece el ac la RBS no levanto, se inform� a todos los jefes.",Se renueva la licencia y se amplia el ancho de banda.,15149
CT SAN JOSE DE LAS LAJAS,San Jose de las Lajas,RBS SAN JOSE MB,T20231002233537010,RBS y SAS K-12 interrumpido,02/10/2023 11:35:37 p.�m.,03/10/2023 07:32:10 a.�m.,Acceso,RBS 6301,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Restableci� solo,"Se interrumpe la RBS por fallo ac en el sitio y cuando restablece el ac la RBS y el SAS-k12 no levantaron, se inform� a todos los jefes.",Restableci� solo,476
CT SAN JOSE DE LAS LAJAS,Quivican,RBS PABLO NORIEGA,T20231002233047076,RBS interrumpida,02/10/2023 11:30:47 p.�m.,03/10/2023 07:33:15 a.�m.,Acceso,RBS 6301,RADIOBASE,Movil,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,Restableci� solo,"Se interrumpe la RBS por fallo ac en el sitio y cuando restablece el ac la RBS no levanto, se inform� a todos los jefes.",Restableci� solo,482
CT SANTA CRUZ DEL NORTE,SANTA CRUZ DEL NORTE,RADIOCUBA  SANTA CRUZ DEL NORTE,T20230928191951042,LSW interrumpido,28/09/2023 07:19:51 p.�m.,19/10/2023 11:33:45 a.�m.,Acceso,LANSWITCH,LANSWITCH ACCESO,Red de Acceso,AC,0,0,0,1,0,0,0,0,0,0,0,CERRADO,resuelto problema interno de AC,Se interrumpe el LSW por fallo AC y cuando restablece la misma el LSW se queda interrumpido.,resuelto problema interno de AC,29773
CT SANTA CRUZ DEL NORTE,MADRUGA,CT PIPIAN,T20230927201249038,GE de CT Pipi�n en fallo de arranque,27/09/2023 08:12:49 p.�m.,23/11/2023 10:53:03 a.�m.,"Energetica, Climatizacion y SPI",MGTP 15 SSP/AA,GREYMO,Grupos Electrogenos,MTTO,0,0,0,0,0,0,1,0,0,0,0,CERRADO,Se repar� el bendix del motor del motor de arranque y el grupo se encuentra en servicio,Fallo de AC en CT Pipi�n y el grupo electr�geno no arranca. Se notific� seg�n el plan de aviso. Se mantiene el centro con respaldo de bater�a.,Se repar� el bendix del motor del motor de arranque y el grupo se encuentra en servicio,81580
CT SANTA CRUZ DEL NORTE,SANTA CRUZ DEL NORTE,RUMBO EL CAYUELO,T20230927132526016,Fuera de servicio,27/09/2023 01:25:26 p.�m.,19/10/2023 12:02:39 p.�m.,Transmision,TRASA,RADIO ENLACES SECUNDARIOS. RED DE ACCESO. ESTACION BASE. SISTEMA TRUNKING de ETECSA. MTTOS: 1,Mantenimiento a los Sistemas de Microondas y Radio Enlaces principales y secundarios analogicos,PC,0,0,0,0,0,1,0,0,0,0,0,CERRADO,problema del cliente,Fuera de servicio,problema del cliente,31597
CT SAN JOSE DE LAS LAJAS,SAN JOSE DE LAS LAJAS,CT SAN JOSE DE LAS LAJAS,T20230925174551030,grupo fuera de servicio por filtro de combustible,25/09/2023 05:45:51 p.�m.,26/09/2023 07:46:18 a.�m.,"Energetica, Climatizacion y SPI",MGTP 200 SSP,GREYMO,Grupos Electrogenos,MTTO,0,0,0,0,0,0,1,0,0,0,0,CERRADO,20:00 se cambio el filtro. El grupo quedo en funcionamiento.,el personal de energetica fue al sitio por problemas de arranque del grupo y identificaron que el filtro de la salida del tanque diesel estaba tupido. Se esta estagestionando un repuesto para realizar la sustitucion del mismo. ,20:00 se cambio el filtro. El grupo quedo en funcionamiento. ,840
CT GUINES,GUINES,CT GUINES,T20230923110041047,Tarjeta AU-2640 en ABL,23/09/2023 11:00:41 a.�m.,19/10/2023 11:44:55 a.�m.,Core,Ura EAR,AXE,URA,SW,1,0,0,0,0,0,0,0,0,0,0,CERRADO,Reset Hardware,Tarjeta AU-2640 en ABL. Reset por SW sin resultados. Notificada intervencion,Reset Hardware,37484
CT GUINES,MELENA DEL SUR,CT MELENA DEL SUR,T20230922202757076,Grupo Electrogeno CT MELENA DEL SUR,22/09/2023 08:27:57 p.�m.,14/02/2024 01:15:01 p.�m.,"Energetica, Climatizacion y SPI",MG 30 SSP/AA,GREYMO,Grupos Electrogenos,MTTO,0,0,0,0,0,0,1,0,0,0,0,CERRADO,Cambio de filtro y aceite,Grupo Electrogeno CT MELENA DEL SUR con bajo nivel de aceite.,Cambio de filtro y aceite,208427
